id,rank,player,age_that_year,hits,year,bats
155,155,Mookie Betts,23,214,2016,R
156,,Wade Boggs,30,214,1988,L
157,,Doc Cramer,29,214,1935,L
158,,Johnny Damon,26,214,2000,L
159,,Woody English,24,214,1930,R
160,,Ralph Garr,28,214,1974,L
161,,Charlie Gehringer,31,214,1934,L
162,,Derek Jeter,32,214,2006,R
163,,Nap Lajoie,31,214,1906,R
164,,Heinie Manush,30,214,1932,L
165,,Tris Speaker,32,214,1920,L
166,,Ichiro Suzuki,36,214,2010,L
167,,Miguel Tejada,32,214,2006,R
168,,Lloyd Waner,25,214,1931,L
169,169,Charlie Blackmon,30,213,2017,L
170,,Jesse Burkett,29,213,1898,L
171,,Dave Cash,27,213,1975,R
172,,Tony Fernandez,24,213,1986,B
173,,Jimmie Foxx,24,213,1932,R
174,,Adrian Gonzalez,29,213,2011,L
175,,Tony Gwynn,24,213,1984,L
176,,Charlie Jamieson,31,213,1924,L
177,,Willie Keeler,23,213,1895,L
178,,Dustin Pedroia,24,213,2008,R
179,,Jim Rice,25,213,1978,R
180,,Alex Rodriguez,22,213,1998,R
181,,Red Rolfe,30,213,1939,L
182,,Ichiro Suzuki,34,213,2008,L
183,,Bill Terry,32,213,1931,L
184,,Bill Terry,35,213,1934,L
185,,Gee Walker,29,213,1937,R
186,,Michael Young,34,213,2011,R
187,187,Beau Bell,28,212,1936,R
188,,George Brett,26,212,1979,L
189,,Ty Cobb,20,212,1907,L
190,,Frank Demaree,26,212,1936,R
191,,Jacoby Ellsbury,27,212,2011,L
192,,Derek Jeter,35,212,2009,R
193,,Ron LeFlore,29,212,1977,R
194,,Bobby Lowe,28,212,1894,R
195,,Don Mueller,27,212,1954,L
196,,Albert Pujols,23,212,2003,R
197,,Hanley Ramirez,23,212,2007,R
198,,Jimmy Rollins,28,212,2007,B
199,,Al Simmons,27,212,1929,R
200,,Ichiro Suzuki,29,212,2003,L
201,,Zack Wheat,36,212,1924,L
202,202,Ellis Burks,31,211,1996,R
203,,Roberto Clemente,29,211,1964,R
204,,Ty Cobb,35,211,1922,L
205,,Ty Cobb,37,211,1924,L
206,,Curt Flood,26,211,1964,R
207,,Frankie Frisch,23,211,1921,B
208,,Lou Gehrig,28,211,1931,L
209,,Tony Gwynn,26,211,1986,L
210,,Harry Heilmann,28,211,1923,R
211,,Billy Herman,26,211,1936,R
212,,Baby Doll Jacobson,30,211,1921,R
213,,Benny Kauff,24,211,1914,L
214,,Don Mattingly,24,211,1985,L
215,,Paul Molitor,36,211,1993,R
216,,Sam Rice,30,211,1920,L
217,,Cal Ripken,22,211,1983,R
218,,Al Simmons,28,211,1930,R
219,,Tris Speaker,28,211,1916,L
220,,Garry Templeton,23,211,1979,B
221,,Sam Thompson,35,211,1895,L
222,222,Felipe Alou,33,210,1968,R
223,,Craig Biggio,32,210,1998,R
224,,Wade Boggs,25,210,1983,L
225,,Steve Brodie,25,210,1894,L
226,,Lave Cross,28,210,1894,R
227,,Steve Garvey,26,210,1975,R
228,,Lou Gehrig,25,210,1928,L
229,,Lou Gehrig,31,210,1934,L
230,,Keith Hernandez,25,210,1979,L
