Rank,Player,AgeThatYear,Hits,Year,Bats,id
,Mike Donlin,27,216,1905,L,125
,Todd Helton,26,216,2000,L,126
,Matt Holliday,27,216,2007,R,127
,Baby Doll Jacobson,29,216,1920,R,128
,Derek Jeter,38,216,2012,R,129
,Willie Keeler,26,216,1898,L,130
,Willie Keeler,27,216,1899,L,131
,Willie McGee,26,216,1985,B,132
,Paul Molitor,34,216,1991,R,133
,Magglio Ordonez,33,216,2007,R,134
,Sam Rice,34,216,1924,L,135
,Sam Rice,36,216,1926,L,136
,Al Simmons,30,216,1932,R,137
,George Sisler,28,216,1921,L,138
,Hal Trosky,23,216,1936,L,139
,Joe Vosmik,25,216,1935,R,140
,Michael Young,27,216,2004,R,141
142,Dale Alexander,26,215,1929,R,142
,Richie Ashburn,31,215,1958,L,143
,Carson Bigbee,27,215,1922,L,144
,George Brett,23,215,1976,L,145
,Joe DiMaggio,22,215,1937,R,146
,Charlie Gehringer,26,215,1929,L,147
,Buddy Myer,31,215,1935,L,148
,Dave Parker,26,215,1977,L,149
,Kirby Puckett,29,215,1989,R,150
,Alex Rodriguez,20,215,1996,R,151
,Pete Rose,35,215,1976,B,152
,Paul Waner,29,215,1932,L,153
,Vernon Wells,24,215,2003,R,154
155,Mookie Betts,23,214,2016,R,155
,Wade Boggs,30,214,1988,L,156
,Doc Cramer,29,214,1935,L,157
,Johnny Damon,26,214,2000,L,158
,Woody English,24,214,1930,R,159
,Ralph Garr,28,214,1974,L,160
,Charlie Gehringer,31,214,1934,L,161
,Derek Jeter,32,214,2006,R,162
,Nap Lajoie,31,214,1906,R,163
,Heinie Manush,30,214,1932,L,164
,Tris Speaker,32,214,1920,L,165
,Ichiro Suzuki,36,214,2010,L,166
,Miguel Tejada,32,214,2006,R,167
,Lloyd Waner,25,214,1931,L,168
169,Charlie Blackmon,30,213,2017,L,169
,Jesse Burkett,29,213,1898,L,170
,Dave Cash,27,213,1975,R,171
,Tony Fernandez,24,213,1986,B,172
,Jimmie Foxx,24,213,1932,R,173
,Adrian Gonzalez,29,213,2011,L,174
,Tony Gwynn,24,213,1984,L,175
,Charlie Jamieson,31,213,1924,L,176
,Willie Keeler,23,213,1895,L,177
,Dustin Pedroia,24,213,2008,R,178
,Jim Rice,25,213,1978,R,179
,Alex Rodriguez,22,213,1998,R,180
,Red Rolfe,30,213,1939,L,181
,Ichiro Suzuki,34,213,2008,L,182
,Bill Terry,32,213,1931,L,183
,Bill Terry,35,213,1934,L,184
,Gee Walker,29,213,1937,R,185
,Michael Young,34,213,2011,R,186
187,Beau Bell,28,212,1936,R,187
,George Brett,26,212,1979,L,188
,Ty Cobb,20,212,1907,L,189
,Frank Demaree,26,212,1936,R,190
,Jacoby Ellsbury,27,212,2011,L,191
,Derek Jeter,35,212,2009,R,192
,Ron LeFlore,29,212,1977,R,193
,Bobby Lowe,28,212,1894,R,194
,Don Mueller,27,212,1954,L,195
,Albert Pujols,23,212,2003,R,196
,Hanley Ramirez,23,212,2007,R,197
,Jimmy Rollins,28,212,2007,B,198
,Al Simmons,27,212,1929,R,199
,Ichiro Suzuki,29,212,2003,L,200
,Zack Wheat,36,212,1924,L,201
202,Ellis Burks,31,211,1996,R,202
,Roberto Clemente,29,211,1964,R,203
,Ty Cobb,35,211,1922,L,204
,Ty Cobb,37,211,1924,L,205
,Curt Flood,26,211,1964,R,206
,Frankie Frisch,23,211,1921,B,207
,Lou Gehrig,28,211,1931,L,208
,Tony Gwynn,26,211,1986,L,209
,Harry Heilmann,28,211,1923,R,210
,Billy Herman,26,211,1936,R,211
,Baby Doll Jacobson,30,211,1921,R,212
,Benny Kauff,24,211,1914,L,213
,Don Mattingly,24,211,1985,L,214
,Paul Molitor,36,211,1993,R,215
,Sam Rice,30,211,1920,L,216
,Cal Ripken,22,211,1983,R,217
,Al Simmons,28,211,1930,R,218
,Tris Speaker,28,211,1916,L,219
,Garry Templeton,23,211,1979,B,220
,Sam Thompson,35,211,1895,L,221
222,Felipe Alou,33,210,1968,R,222
,Craig Biggio,32,210,1998,R,223
,Wade Boggs,25,210,1983,L,224
